stimuli,emotion_stimuli,subject,emotion_subject
kikuguti_sad_au_1_0,sad,9,sad
sirakura_sad_au_mouth_1_0_130,sad,9,sad
nakatakuma_sad_au_2_0,sad,9,sad
nishio_sur_au_mouth_2_0,sur,9,sur
ota_sur_fr_1_0,sur,9,sur
koyama_sur_fr_2_0,sur,9,sur
iwagami_sur_au_mouth_2_0,sur,9,sur
henmi_sur_au_mouth_2_0,sur,9,sur
kikuguti_sur_fr_2_0,sur,9,sur
sirakura_sur_fr_1_0,sur,9,sur
nakatakuma_sur_au_mouth_2_0,sur,9,sur
nishio_ang_au_cl_2_0,ang,10,ang
ota_ang_au_cl_1_0,ang,10,ang
koyama_ang_au_cl_2_0,ang,10,ang
iwagami_ang_au_cl_1_0,ang,10,ang
henmi_ang_au_cl_4_0,ang,10,ang
kikuguti_ang_au_cl_1_0,ang,10,ang
sirakura_ang_au_cl_3_0,ang,10,ang
nakatakuma_ang_au_cl_2_0,ang,10,dis
nishio_dis_au_cl_3_0,dis,10,ang
ota_dis_au_cl_1_0,dis,10,ang
koyama_dis_au_cl_2_0,dis,10,dis
iwagami_dis_au_cl_1_0,dis,10,dis
henmi_dis_au_cl_1_0,dis,10,ang
kikuguti_dis_au_cl_4_0,dis,10,dis
sirakura_dis_au_cl_1_0,dis,10,dis
nakatakuma_dis_au_cl_1_0,dis,10,ang
nishio_fea_au_mouth_2_0,fea,10,dis
ota_fea_fr_2_0,fea,10,ang
koyama_fea_fr_2_0,fea,10,ang
iwagami_fea_au_mouth_1_0,fea,10,sad
henmi_fea_au_mouth_2_0,fea,10,dis
kikuguti_fea_au_mouth_1_0,fea,10,sad
sirakura_fea_fr_2_0,fea,10,fea
nakatakuma_fea_fr_1_0,fea,10,dis
nishio_hap_au_du_1_0,hap,10,hap
ota_hap_au_du_1_0,hap,10,hap
koyama_hap_au_du_1_0,hap,10,hap
iwagami_hap_au_du_2_0,hap,10,hap
henmi_hap_au_du_1_0,hap,10,hap
kikuguti_hap_au_du_4_0,hap,10,hap
sirakura_hap_au_du_2_0,hap,10,hap
nakatakuma_hap_au_du_1_0,hap,10,hap
nishio_sad_au_1_0,sad,10,dis
ota_sad_au_mouth_1_0,sad,10,sad
koyama_sad_au_mouth_1_0,sad,10,sad
iwagami_sad_au_mouth_3_0,sad,10,sad
henmi_sad_au_mouth_3_0,sad,10,sad
kikuguti_sad_au_1_0,sad,10,sad
sirakura_sad_au_mouth_1_0_130,sad,10,sad
nakatakuma_sad_au_2_0,sad,10,dis
nishio_sur_au_mouth_2_0,sur,10,hap
ota_sur_fr_1_0,sur,10,sur
koyama_sur_fr_2_0,sur,10,sur
iwagami_sur_au_mouth_2_0,sur,10,neu
henmi_sur_au_mouth_2_0,sur,10,sur
